formula,bg_type,bg_eV,bg_std_eV,ehull,screen_pass,source,structure_type,source_dir,source_file,cif_source,local_cif_name
LuCuSBr2,Direct,0.5046,0.1307,Stable,Yes,dual_backbone_inorg,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_new_relaxed,PROJECT_ROOT/Data/predict_new_relaxed/CuLuSBr2.cif,PROJECT_ROOT/Data/predict_final_main6/LuCuSBr2.cif,LuCuSBr2.cif
LuGe2S2F3,Direct,0.8265,0.7383,Stable,Yes,dual_backbone_inorg,Type3_B2_C_Ch2_X3,PROJECT_ROOT/Data/predict_type3_relaxed_extra,PROJECT_ROOT/Data/predict_type3_relaxed_extra/Ge2LuS2F3.cif,PROJECT_ROOT/Data/predict_final_main6/LuGe2S2F3.cif,LuGe2S2F3.cif
LuNi2Te2Cl3,Direct,0.8841,0.6077,Stable,Yes,dual_backbone_inorg,Type3_B2_C_Ch2_X3,PROJECT_ROOT/Data/predict_type3_relaxed,PROJECT_ROOT/Data/predict_type3_relaxed/Ni2LuTe2Cl3.cif,PROJECT_ROOT/Data/predict_final_main6/LuNi2Te2Cl3.cif,LuNi2Te2Cl3.cif
LuNiS2I,Direct,0.8995,0.4546,Stable,Yes,dual_backbone_inorg,TrainTemplate_B1C1_Ch2_X1,PROJECT_ROOT/Data/predict_main6_supplement_relaxed,PROJECT_ROOT/Data/predict_main6_supplement_relaxed/LuNiS2I.cif,PROJECT_ROOT/Data/predict_final_main6/LuNiS2I.cif,LuNiS2I.cif
LuSnS2F,Direct,0.8809,0.2366,Stable,Yes,dual_backbone_inorg,TrainTemplate_B1C1_Ch2_X1,PROJECT_ROOT/Data/predict_main6_supplement_relaxed,PROJECT_ROOT/Data/predict_main6_supplement_relaxed/LuSnS2F.cif,PROJECT_ROOT/Data/predict_final_main6/LuSnS2F.cif,LuSnS2F.cif
LuSnSe2F,Direct,0.7074,0.3674,Stable,Yes,dual_backbone_inorg,TrainTemplate_B1C1_Ch2_X1,PROJECT_ROOT/Data/predict_main6_supplement_relaxed,PROJECT_ROOT/Data/predict_main6_supplement_relaxed/LuSnSe2F.cif,PROJECT_ROOT/Data/predict_final_main6/LuSnSe2F.cif,LuSnSe2F.cif
LuSnTe2F,Direct,0.7586,0.5134,Stable,Yes,dual_backbone_inorg,TrainTemplate_B1C1_Ch2_X1,PROJECT_ROOT/Data/predict_main6_supplement_relaxed,PROJECT_ROOT/Data/predict_main6_supplement_relaxed/LuSnTe2F.cif,PROJECT_ROOT/Data/predict_final_main6/LuSnTe2F.cif,LuSnTe2F.cif
LuZn2Se2Br3,Direct,1.0635,0.5806,Stable,Yes,dual_backbone_inorg,Type3_B2_C_Ch2_X3,PROJECT_ROOT/Data/predict_type3_relaxed,PROJECT_ROOT/Data/predict_type3_relaxed/Zn2LuSe2Br3.cif,PROJECT_ROOT/Data/predict_final_main6/LuZn2Se2Br3.cif,LuZn2Se2Br3.cif
LuZn2Se2I3,Direct,1.0699,0.5847,Stable,Yes,dual_backbone_inorg,Type3_B2_C_Ch2_X3,PROJECT_ROOT/Data/predict_type3_relaxed,PROJECT_ROOT/Data/predict_type3_relaxed/Zn2LuSe2I3.cif,PROJECT_ROOT/Data/predict_final_main6/LuZn2Se2I3.cif,LuZn2Se2I3.cif
MnCuTeBr,Direct,0.6096,0.3584,Stable,Yes,dual_backbone_inorg,TrainTemplate_A1B1_Ch1_X1,PROJECT_ROOT/Data/predict_main6_supplement_relaxed,PROJECT_ROOT/Data/predict_main6_supplement_relaxed/MnCuTeBr.cif,PROJECT_ROOT/Data/predict_final_main6/MnCuTeBr.cif,MnCuTeBr.cif
MnCuTeCl,Direct,0.5524,0.3712,Stable,Yes,dual_backbone_inorg,TrainTemplate_A1B1_Ch1_X1,PROJECT_ROOT/Data/predict_main6_supplement_relaxed,PROJECT_ROOT/Data/predict_main6_supplement_relaxed/MnCuTeCl.cif,PROJECT_ROOT/Data/predict_final_main6/MnCuTeCl.cif,MnCuTeCl.cif
Mo2AuS3Br,Direct,0.6738,0.2991,Stable,Yes,dual_backbone_inorg,TrainTemplate_A1C2_Ch3_X1,PROJECT_ROOT/Data/predict_main6_supplement_relaxed,PROJECT_ROOT/Data/predict_main6_supplement_relaxed/Mo2AuS3Br.cif,PROJECT_ROOT/Data/predict_final_main6/Mo2AuS3Br.cif,Mo2AuS3Br.cif
Mo2AuS3I,Direct,0.6355,0.2231,Stable,Yes,dual_backbone_inorg,TrainTemplate_A1C2_Ch3_X1,PROJECT_ROOT/Data/predict_main6_supplement_relaxed,PROJECT_ROOT/Data/predict_main6_supplement_relaxed/Mo2AuS3I.cif,PROJECT_ROOT/Data/predict_final_main6/Mo2AuS3I.cif,Mo2AuS3I.cif
NaAl2Se3Cl,Direct,1.0794,0.3318,Stable,Yes,dual_backbone_inorg,TrainTemplate_A1C2_Ch3_X1,PROJECT_ROOT/Data/predict_main6_supplement_relaxed,PROJECT_ROOT/Data/predict_main6_supplement_relaxed/NaAl2Se3Cl.cif,PROJECT_ROOT/Data/predict_final_main6/NaAl2Se3Cl.cif,NaAl2Se3Cl.cif
NaBiSF2,Direct,0.8796,0.6902,Stable,Yes,dual_backbone_inorg,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_new_relaxed,PROJECT_ROOT/Data/predict_new_relaxed/NaBiSF2.cif,PROJECT_ROOT/Data/predict_final_main6/NaBiSF2.cif,NaBiSF2.cif
NaBiSeF2,Direct,0.6743,0.4353,Stable,Yes,dual_backbone_inorg,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_new_relaxed,PROJECT_ROOT/Data/predict_new_relaxed/NaBiSeF2.cif,PROJECT_ROOT/Data/predict_final_main6/NaBiSeF2.cif,NaBiSeF2.cif
NaCoSeF,Direct,0.6773,0.5807,Stable,Yes,dual_backbone_inorg,TrainTemplate_A1B1_Ch1_X1,PROJECT_ROOT/Data/predict_main6_supplement_relaxed,PROJECT_ROOT/Data/predict_main6_supplement_relaxed/NaCoSeF.cif,PROJECT_ROOT/Data/predict_final_main6/NaCoSeF.cif,NaCoSeF.cif
NaCoTeF,Direct,0.7502,0.677,Stable,Yes,dual_backbone_inorg,TrainTemplate_A1B1_Ch1_X1,PROJECT_ROOT/Data/predict_main6_supplement_relaxed,PROJECT_ROOT/Data/predict_main6_supplement_relaxed/NaCoTeF.cif,PROJECT_ROOT/Data/predict_final_main6/NaCoTeF.cif,NaCoTeF.cif
NaGaSeCl2,Direct,0.6596,0.7758,Stable,Yes,dual_backbone_inorg,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_final,PROJECT_ROOT/Data/predict_final/NaGaSeCl2.cif,PROJECT_ROOT/Data/predict_final_main6/NaGaSeCl2.cif,NaGaSeCl2.cif
