ID,Band Gap (eV),Gap Type,Energy Above Hull (eV/atom)
mp-562774,3.1386,Indirect,0.0012
mp-542064,1.8017,Indirect,0.0404
mp-558288,3.4985,Direct,0.0379
mp-541335,2.2799,Indirect,0.1120
mp-557791,1.2491,Indirect,0.1236
mp-1101144,0.1269,Indirect,0.3312
mp-1233092,2.2060,Indirect,0.3988
mp-1233983,2.4902,Direct,0.3182
mp-1234282,3.8085,Indirect,0.2747
mp-1234857,4.2729,Indirect,0.3114
mp-706456,0.0800,Indirect,0.3835
mp-555299,6.2686,Indirect,0.2505
mp-1180975,0.0000,Metal,1.0559
mp-1200298,1.8291,Direct,0.2084
mp-557236,1.4407,Indirect,0.0000
mp-709432,6.2926,Indirect,0.1733
mp-1197884,2.8513,Direct,0.1387
mp-1201845,1.5318,Indirect,0.2204
mp-1201380,2.8314,Direct,0.1478
mp-557010,2.1950,Indirect,0.3012
mp-558968,3.0306,Indirect,0.6184
mp-1182733,0.0000,Metal,0.6886
mp-1181934,1.5647,Direct,0.5328
mp-554761,6.1503,Direct,0.2505
mp-606304,0.3619,Indirect,0.6082
mp-556173,2.2267,Indirect,0.2468
mp-651073,3.5406,Direct,0.2285
mp-1201063,2.7930,Indirect,0.3361
mp-560424,3.0921,Indirect,0.2635
mp-1228916,5.5254,Indirect,0.0211
mp-560084,3.0622,Indirect,0.1952
mp-1204693,2.2909,Direct,0.0074
mp-1203902,1.9483,Direct,0.2059
mp-558770,2.4350,Indirect,0.2095
mp-1197776,3.0463,Indirect,0.0538
mp-650524,1.6989,Indirect,0.1406
mp-1195359,5.6331,Direct,0.2590
mp-1195523,5.6823,Direct,0.2581
mp-1196568,5.6815,Direct,0.2578
mp-1219560,2.5341,Indirect,0.1957
mp-1198212,2.2331,Indirect,0.2586
mp-1205251,3.5495,Direct,0.5080
mp-573010,3.5362,Direct,0.1882
mp-554195,1.8401,Direct,0.1409
mp-705014,2.5717,Indirect,0.5973
mp-559978,1.1666,Indirect,0.2436
mp-555028,0.8025,Indirect,0.1354
mp-560359,1.5664,Indirect,0.0432
mp-581488,1.4924,Indirect,0.0432
mp-14673,1.7301,Direct,0.0000
mp-556278,2.0161,Indirect,0.0369
mp-1186934,0.0000,Metal,0.3130
mp-28096,2.8804,Indirect,0.0000
mp-1147671,0.0000,Metal,0.0668
mp-27952,2.6955,Indirect,0.2659
mp-31263,1.2286,Indirect,0.0000
mp-30099,1.1221,Indirect,0.0204
mp-29067,2.6040,Indirect,0.2964
mp-556273,2.2113,Indirect,0.4341
mp-560901,0.9647,Indirect,0.0000
mp-561307,2.7618,Indirect,0.0000
mp-653579,1.6748,Indirect,0.0000
mp-28374,1.4232,Indirect,0.3308
mp-1210546,0.8894,Indirect,0.0214
mp-1210046,2.6929,Indirect,0.0262
mp-772534,2.5588,Indirect,0.0196
mp-1013900,0.0000,Metal,0.0096
mp-27616,2.9329,Direct,0.0000
mp-1213844,0.1365,Direct,0.0000
mp-29311,1.3453,Direct,0.2344
mp-23318,1.9636,Indirect,0.0000
mp-606912,1.9565,Indirect,0.4375
mp-1208155,1.5302,Indirect,0.0000
mp-558368,0.7834,Indirect,0.0098
mp-1197810,1.9469,Indirect,0.0000
mp-1199243,1.9586,Indirect,0.0000
mp-1212237,1.6390,Indirect,0.0032
mp-23586,1.5348,Indirect,0.0014
mp-542474,1.4043,Indirect,0.0139
mp-556541,1.5525,Indirect,0.0000
mp-559521,1.5805,Indirect,0.0000
mp-680728,0.0000,Metal,0.0921
mp-1182041,0.0000,Metal,0.6385
mp-1192852,1.3845,Indirect,0.0371
mp-1213106,1.2200,Indirect,0.0803
mp-555237,4.7054,Direct,0.0000
mp-558122,1.9163,Indirect,0.0000
mp-558295,2.2843,Indirect,0.4944
mp-559889,2.7545,Indirect,0.3712
mp-559820,4.0939,Indirect,0.0000
mp-667281,3.4976,Direct,0.3030
mp-672675,0.0000,Metal,0.9420
mp-1205371,2.8257,Indirect,0.0130
mp-542133,0.1024,Indirect,0.0000
mp-556246,2.6154,Direct,0.0000
mp-556179,2.7409,Indirect,0.0000
mp-558667,2.3178,Indirect,0.2680
mp-557510,0.7673,Indirect,0.0661
mp-1224076,1.0880,Direct,0.0000
mp-1210484,0.0000,Metal,0.0857
mp-559355,1.5138,Indirect,0.0042
mp-1226127,0.8113,Indirect,0.0046
mp-1193300,2.3960,Indirect,0.0000
mp-555567,1.3093,Indirect,0.1221
mp-985592,2.2955,Direct,0.0829
mp-1226363,0.0000,Metal,0.0000
mp-1219229,1.8437,Indirect,0.0280
mp-672253,0.5616,Indirect,0.0238
mp-23567,0.5700,Indirect,0.0132
mp-729158,0.0398,Indirect,1.3927
mp-558199,1.6696,Direct,0.0042
mp-628633,1.4706,Indirect,0.3373
mp-1181082,0.6272,Indirect,0.6619
mp-1198976,3.1691,Direct,0.0000
