formula,in_final_main6,in_excluded_training_overlap,final_file,excluded_file,dft_files,main6_type,main6_source_dir
GaTeAuBr2,Yes,No,GaTeAuBr2.cif,,AuGaTeBr2.vasp,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_new_relaxed
GaTeAuCl2,Yes,No,GaTeAuCl2.cif,,AuGaTeCl2.vasp,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_new_relaxed
GaTeAuI2,Yes,No,GaTeAuI2.cif,,AuGaTeI2.vasp,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_new_relaxed
InAgSBr2,Yes,No,InAgSBr2.cif,,AgInSBr2.vasp,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_final
InAgSCl2,Yes,No,InAgSCl2.cif,,AgInSCl2.vasp,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_final
InAgSI2,Yes,No,InAgSI2.cif,,AgInSI2.vasp,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_final
InAgSeBr2,Yes,No,InAgSeBr2.cif,,AgInSeBr2.vasp,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_final
InAgSeCl2,Yes,No,InAgSeCl2.cif,,AgInSeCl2.vasp,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_final
InAgSeI2,Yes,No,InAgSeI2.cif,,AgInSeI2.vasp,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_final
InAgTeBr2,Yes,No,InAgTeBr2.cif,,AgInTeBr2.vasp,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_final
InAgTeCl2,Yes,No,InAgTeCl2.cif,,AgInTeCl2.vasp,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_final
InAgTeI2,Yes,No,InAgTeI2.cif,,AgInTeI2.vasp,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_final
InAuSBr2,Yes,No,InAuSBr2.cif,,AuInSBr2.vasp,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_final
InAuSCl2,Yes,No,InAuSCl2.cif,,AuInSCl2.vasp,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_final
