file,formula,group,pattern,n_metals_or_non_chx,has_O,has_N,extra_elements,elements
mp-2017401.cif,WSCl4,pure_ABC_Ch_X_other_charge_balanced_or_complex,,1,False,False,,Cl S W
mp-21228.cif,SrCuSeF,selected_13_pure_ABC_Ch_X,A1B1_Ch1_X1,2,False,False,,Cu F Se Sr
mp-21354.cif,EuCuSF,other_chalcohalide_with_nonwhitelist_elements,,2,False,False,Eu,Cu Eu F S
mp-21356.cif,EuCuSeF,other_chalcohalide_with_nonwhitelist_elements,,2,False,False,Eu,Cu Eu F Se
mp-2213515.cif,TePdI2,pure_ABC_Ch_X_other_charge_balanced_or_complex,,1,False,False,,I Pd Te
mp-2217781.cif,MgSbS2NF6,nitride_chalcohalide,,3,False,True,N,F Mg N S Sb
mp-2217785.cif,MgSbS2NCl6,nitride_chalcohalide,,3,False,True,N,Cl Mg N S Sb
mp-2217831.cif,MgNb2(SBr)4,pure_ABC_Ch_X_other_charge_balanced_or_complex,,2,False,False,,Br Mg Nb S
mp-2217837.cif,MgSbS2NF6,nitride_chalcohalide,,3,False,True,N,F Mg N S Sb
mp-2217903.cif,MgNb2(SCl)4,pure_ABC_Ch_X_other_charge_balanced_or_complex,,2,False,False,,Cl Mg Nb S
mp-2218333.cif,MgW2(SCl4)2,pure_ABC_Ch_X_other_charge_balanced_or_complex,,2,False,False,,Cl Mg S W
mp-2218459.cif,MgW2(SCl4)2,pure_ABC_Ch_X_other_charge_balanced_or_complex,,2,False,False,,Cl Mg S W
mp-2218594.cif,MgW2(SCl4)2,pure_ABC_Ch_X_other_charge_balanced_or_complex,,2,False,False,,Cl Mg S W
mp-2218742.cif,MgW2(SCl4)2,pure_ABC_Ch_X_other_charge_balanced_or_complex,,2,False,False,,Cl Mg S W
mp-2223676.cif,MgSbS2NCl6,nitride_chalcohalide,,3,False,True,N,Cl Mg N S Sb
mp-2227262.cif,MgV2Te2O7F2,oxy_chalcohalide,,3,True,False,O,F Mg O Te V
mp-2228512.cif,MgCu3Te2(BrO3)2,oxy_chalcohalide,,3,True,False,O,Br Cu Mg O Te
mp-2228522.cif,MgV2Te2O7F2,oxy_chalcohalide,,3,True,False,O,F Mg O Te V
mp-2228593.cif,MgV2Te2O7F2,oxy_chalcohalide,,3,True,False,O,F Mg O Te V
mp-2228916.cif,MgV2S4(N3Cl2)2,nitride_chalcohalide,,3,False,True,N,Cl Mg N S V
mp-2229216.cif,MgV2S4(Br2N3)2,nitride_chalcohalide,,3,False,True,N,Br Mg N S V
mp-2229416.cif,MgV2S4(N3Cl2)2,nitride_chalcohalide,,3,False,True,N,Cl Mg N S V
mp-2229444.cif,MgV2S4(N3Cl2)2,nitride_chalcohalide,,3,False,True,N,Cl Mg N S V
mp-2229527.cif,MgV2S4(N3Cl2)2,nitride_chalcohalide,,3,False,True,N,Cl Mg N S V
mp-2229658.cif,MgV2S4(Br2N3)2,nitride_chalcohalide,,3,False,True,N,Br Mg N S V
mp-2229780.cif,MgV2S4(N3Cl2)2,nitride_chalcohalide,,3,False,True,N,Cl Mg N S V
mp-2229921.cif,MgV2S4(Br2N3)2,nitride_chalcohalide,,3,False,True,N,Br Mg N S V
mp-2230365.cif,MgTi2S2(Cl6O)2,oxy_chalcohalide,,3,True,False,O,Cl Mg O S Ti
mp-2230438.cif,MgTi2S2(Cl6O)2,oxy_chalcohalide,,3,True,False,O,Cl Mg O S Ti
mp-2232096.cif,MgFe2S2(O4F)2,oxy_chalcohalide,,3,True,False,O,F Fe Mg O S
mp-2232163.cif,MgFe2S2(O4F)2,oxy_chalcohalide,,3,True,False,O,F Fe Mg O S
mp-2232217.cif,MgFe2S2(O4F)2,oxy_chalcohalide,,3,True,False,O,F Fe Mg O S
mp-2232231.cif,MgFe2S2(O4F)2,oxy_chalcohalide,,3,True,False,O,F Fe Mg O S
mp-2234083.cif,MgNb2(SCl)4,pure_ABC_Ch_X_other_charge_balanced_or_complex,,2,False,False,,Cl Mg Nb S
mp-22392.cif,SmCuSeF,other_chalcohalide_with_nonwhitelist_elements,,2,False,False,Sm,Cu F Se Sm
mp-2239851.cif,MgSbS2NCl6,nitride_chalcohalide,,3,False,True,N,Cl Mg N S Sb
mp-2240084.cif,MgCu3TeS3Cl,pure_ABC_Ch_X_other_charge_balanced_or_complex,,2,False,False,,Cl Cu Mg S Te
mp-2240378.cif,MgCu3TeS3Cl,pure_ABC_Ch_X_other_charge_balanced_or_complex,,2,False,False,,Cl Cu Mg S Te
mp-2240954.cif,MgNb2(SBr)4,pure_ABC_Ch_X_other_charge_balanced_or_complex,,2,False,False,,Br Mg Nb S
mp-2241078.cif,MgNb2(SCl)4,pure_ABC_Ch_X_other_charge_balanced_or_complex,,2,False,False,,Cl Mg Nb S
mp-2241507.cif,MgNb2(SBr)4,pure_ABC_Ch_X_other_charge_balanced_or_complex,,2,False,False,,Br Mg Nb S
mp-22945.cif,TeRhCl,selected_13_pure_ABC_Ch_X,C1_Ch1_X1,1,False,False,,Cl Rh Te
mp-22963.cif,K2TeBr6,pure_ABC_Ch_X_other_charge_balanced_or_complex,,1,False,False,,Br K Te
mp-22965.cif,BiTeI,selected_13_pure_ABC_Ch_X,C1_Ch1_X1,1,False,False,,Bi I Te
mp-22971.cif,SbSBr,selected_13_pure_ABC_Ch_X,C1_Ch1_X1,1,False,False,,Br S Sb
mp-22975.cif,Rb2TeCl6,pure_ABC_Ch_X_other_charge_balanced_or_complex,,1,False,False,,Cl Rb Te
mp-22995.cif,Ag3SI,selected_13_pure_ABC_Ch_X,A3_Ch1_X1,1,False,False,,Ag I S
mp-22996.cif,SbSeI,selected_13_pure_ABC_Ch_X,C1_Ch1_X1,1,False,False,,I Sb Se
mp-22998.cif,CrSBr,other_chalcohalide_with_nonwhitelist_elements,,1,False,False,Cr,Br Cr S
mp-23007.cif,SbSI,selected_13_pure_ABC_Ch_X,C1_Ch1_X1,1,False,False,,I S Sb
