structure_id,source_file,source_path,formula,bg_type,bg_eV,bg_std_eV,ehull,screen_pass
AgSb2Te3Cl,AgSb2Te3Cl.cif,/mnt/d/AgBiSeCl2/Dual-backbone-Graph-Fusion-Network/02-data/dataset/predict_final_main6/AgSb2Te3Cl.cif,AgSb2Te3Cl,Indirect,0.0193,0.0366,Unstable,No
AgSb2Te3F,AgSb2Te3F.cif,/mnt/d/AgBiSeCl2/Dual-backbone-Graph-Fusion-Network/02-data/dataset/predict_final_main6/AgSb2Te3F.cif,AgSb2Te3F,Indirect,-0.0079,0.0354,Unstable,No
AgSb2Te3I,AgSb2Te3I.cif,/mnt/d/AgBiSeCl2/Dual-backbone-Graph-Fusion-Network/02-data/dataset/predict_final_main6/AgSb2Te3I.cif,AgSb2Te3I,Indirect,0.3745,0.3214,Unstable,No
AgSbSBr2,AgSbSBr2.cif,/mnt/d/AgBiSeCl2/Dual-backbone-Graph-Fusion-Network/02-data/dataset/predict_final_main6/AgSbSBr2.cif,AgSbSBr2,Indirect,0.8302,0.2863,Stable,No
AgSbSCl2,AgSbSCl2.cif,/mnt/d/AgBiSeCl2/Dual-backbone-Graph-Fusion-Network/02-data/dataset/predict_final_main6/AgSbSCl2.cif,AgSbSCl2,Direct,0.4867,0.2946,Stable,No
AgSbSF2,AgSbSF2.cif,/mnt/d/AgBiSeCl2/Dual-backbone-Graph-Fusion-Network/02-data/dataset/predict_final_main6/AgSbSF2.cif,AgSbSF2,Indirect,0.3702,0.6406,Unstable,No
AgSbSI2,AgSbSI2.cif,/mnt/d/AgBiSeCl2/Dual-backbone-Graph-Fusion-Network/02-data/dataset/predict_final_main6/AgSbSI2.cif,AgSbSI2,Direct,0.6593,0.121,Stable,Yes
AgSbSeBr2,AgSbSeBr2.cif,/mnt/d/AgBiSeCl2/Dual-backbone-Graph-Fusion-Network/02-data/dataset/predict_final_main6/AgSbSeBr2.cif,AgSbSeBr2,Indirect,0.6465,0.2698,Stable,No
AgSbSeCl2,AgSbSeCl2.cif,/mnt/d/AgBiSeCl2/Dual-backbone-Graph-Fusion-Network/02-data/dataset/predict_final_main6/AgSbSeCl2.cif,AgSbSeCl2,Direct,0.6513,0.32,Stable,Yes
AgSbSeF2,AgSbSeF2.cif,/mnt/d/AgBiSeCl2/Dual-backbone-Graph-Fusion-Network/02-data/dataset/predict_final_main6/AgSbSeF2.cif,AgSbSeF2,Indirect,0.3364,0.6669,Unstable,No
AgSbSeI2,AgSbSeI2.cif,/mnt/d/AgBiSeCl2/Dual-backbone-Graph-Fusion-Network/02-data/dataset/predict_final_main6/AgSbSeI2.cif,AgSbSeI2,Indirect,0.5927,0.2115,Stable,No
